"LicenceNumber","ApplicationStatusEn","LicenceStatus","LicenceTypeEn","Latitude","Longitude","PremisesName","StreetAddress","City","Province","PostalCode","AddressID"
"CRSA1172661","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6721899469495","-79.3773209718501","DAY 'N' NITE CANNABIS","407B BLOOR ST E","TORONTO","ON","M4W1H7","44826834"
"CRSA1172663","Authorized to Open","Active","Cannabis Retail Store Authorization","43.1911999840248","-79.8114099911467","Sessions Cannabis Stoney Creek","1786 STONE CHURCH RD E","STONEY CREEK","ON","L8W0B4","68985626"
"CRSA1172664","Authorized to Open","Active","Cannabis Retail Store Authorization","43.9252580635639","-80.098882945554","Hempire House","59 FIRST ST","ORANGEVILLE","ON","L9W2E3","64519705"
"CRSA1172668","Authorized to Open","Active","Cannabis Retail Store Authorization","43.4690703410759","-80.448991246581","THE CANNABIST SHOP","1283 VICTORIA ST N","KITCHENER","ON","N2B3E3","44213866"
"CRSA1172671","Authorized to Open","Active","Cannabis Retail Store Authorization","43.8969623","-78.862085","The Peace Pipe","31 CELINA ST","OSHAWA","ON","L1H4M9","30398879"
"CRSA1172673","Authorized to Open","Active","Cannabis Retail Store Authorization","44.4959499987289","-81.3709700300223","Cannabis Grey Bruce","17 ALBERT ST N","SOUTHAMPTON","ON","N0H2L0","77193540"
"CRSA1172674","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6459327981997","-79.3926726032374","Rosebud Cannabis","365 KING ST W BASEMENT","TORONTO","ON","M5V 1K1","67446565"
"CRSA1172678","Authorized to Open","Active","Cannabis Retail Store Authorization","45.3447455159273","-75.6664476202899","CANNA NORTH CANNABIS STORE","800 HUNT CLUB RD UNIT 3","OTTAWA","ON","K1V1C3","64520999"
"CRSA1172685","Authorized to Open","Active","Cannabis Retail Store Authorization","44.232619243407","-76.4928851795833","Mary J's Cannabis","154 DIVISION ST","KINGSTON","ON","K7L3M6","64521852"
"CRSA1172690","Authorized to Open","Active","Cannabis Retail Store Authorization","44.9014346455662","-76.0211758860785","T CANNABIS","4 RUSSELL ST E","SMITHS FALLS","ON","K7A1E8","64522418"
"CRSA1172691","Authorized to Open","Active","Cannabis Retail Store Authorization","48.4307199895525","-89.2313299836737","HIGH SOCIETY ","210 ALGOMA ST S SUITE 101A","THUNDER BAY ","ON","P7B 3C2 ","79869746"
"CRSA1172694","Authorized to Open","Active","Cannabis Retail Store Authorization","43.1669950094351","-79.4764567639792","T CANNABIS","4322 ONTARIO STREET UNIT 3","BEAMSVILLE","ON","L0R1B5","67296763"
"CRSA1172699","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6416152588616","-79.4324872630001","Fire & Flower Cannabis Co.","4 BROCK AVE","TORONTO","ON","M6K2K7","64523300"
"CRSA1172701","Authorized to Open","Active","Cannabis Retail Store Authorization","46.3327658695539","-79.4661582385883","Fire & Flower Cannabis Co.","2021 ALGONQUIN AVE SUITE 102","NORTH BAY","ON","P1B4Z3","64523344"
"CRSA1172702","Authorized to Open","Active","Cannabis Retail Store Authorization","43.5188394422504","-80.2351362761003","Fire & Flower Cannabis Co.","314 STONE RD W","GUELPH","ON","N1G3C4","66237213"
"CRSA1172705","Authorized to Open","Active","Cannabis Retail Store Authorization","42.3214775636795","-83.0162702263259","THE WE STORE","1565 WYANDOTTE ST E","WINDSOR","ON","N9A3L3","15684039"
"CRSA1172723","Authorized to Open","Active","Cannabis Retail Store Authorization","44.306150401272","-78.3200298286442","The Peace Pipe","408 GEORGE ST N","PETERBOROUGH","ON","K9H3R5","44125319"
"CRSA1172724","Authorized to Open","Active","Cannabis Retail Store Authorization","45.1389806937609","-76.1448670427252","Olympia Cannabis","101 BRIDGE ST","CARLETON PLACE","ON","K7C2V4","203350"
"CRSA1172728","Authorized to Open","Active","Cannabis Retail Store Authorization","42.4165155903686","-82.2017508298231","The We Store","427 ST CLAIR ST UNIT 5A","CHATHAM","ON","N7L3K4","64526461"
"CRSA1172729","Authorized to Open","Active","Cannabis Retail Store Authorization","44.1085971644081","-79.5896467611803","One Plant Bradford","484 HOLLAND ST W UNIT B-1","BRADFORD","ON","L3Z0A2","64526523"
"CRSA1172731","Authorized to Open","Active","Cannabis Retail Store Authorization","42.2894093631877","-83.0590259613016","SPIRITLEAF 1550 HURON CHURCH ROAD","1440 HURON CHURCH RD UNIT 7","WINDSOR ","ON ","N9C 2L1","76830846"
"CRSA1172737","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6588191179813","-79.3501761992901","CANNA CABANA","698 QUEEN ST E","TORONTO","ON","M4M1G9","64527423"
"CRSA1172739","Authorized to Open","Active","Cannabis Retail Store Authorization","44.4070035063034","-76.0182124364186","VILLAGE BUD ","1136 PRINCE STREET","LANSDOWNE","ON","K0E 1L0","64527742"
"CRSA1172745","Authorized to Open","Active","Cannabis Retail Store Authorization","42.9598351260027","-81.261118641929","Lux Smoke Vape/Cafe","467 WHARNCLIFFE RD S","LONDON","ON","N6J2M8","64528420"
"CRSA1172746","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6539695553696","-79.3693241024293","1922","120 SHERBOURNE ST","TORONTO","ON","M5A2R4","43932789"
"CRSA1172747","Authorized to Open","Active","Cannabis Retail Store Authorization","45.4768924418318","-75.5138649365516","The Oz Store","3022 ST. JOSEPH BLVD UNIT B","ORLEANS","ON","K1E1E2","66506004"
"CRSA1172747","Authorized to Open","Active","Cannabis Retail Store Authorization","45.4768924418318","-75.5138649365516","The Oz Store","3022 ST. JOSEPH BLVD UNIT B","ORLEANS","ON","K1E1E2","66506004"
"CRSA1172749","Authorized to Open","Active","Cannabis Retail Store Authorization","42.2963985870451","-82.7507372249782","The We Store","1303 ESSEX COUNTY ROAD #22, UNIT 180","BELLE RIVER","ON","N0R1A0","64528741"
"CRSA1172754","Authorized to Open","Active","Cannabis Retail Store Authorization","42.9395535104613","-81.2248989851213","VALUE BUDS","979 WELLINGTON RD SUITE 106A","LONDON","ON","N6E3A9","64529232"
